"PANTONE Process Yellow UP","process-yellow","#ffed00"
"PANTONE Process Magenta UP","process-magenta","#e3007d"
"PANTONE Process Cyan UP","process-cyan","#00a0e1"
"PANTONE Process Black UP","process-black","#2d2c2b"
"PANTONE 1605 UP","1605","#c67427"
"PANTONE 1615 UP","1615","#b46f34"
"PANTONE 162 UP","162","#fbd0af"
"PANTONE 163 UP","163","#f8b27f"
"PANTONE 164 UP","164","#f59c54"
"PANTONE 165 UP","165","#f38f36"
"PANTONE 166 UP","166","#ee863f"
"PANTONE 167 UP","167","#d07629"
"PANTONE 168 UP","168","#a56c34"
"PANTONE 7576 UP","7576","#eda16c"
"PANTONE 7577 UP","7577","#f29b46"
"PANTONE 7578 UP","7578","#ef8e36"
"PANTONE 7579 UP","7579","#f28937"
"PANTONE 7580 UP","7580","#df7733"
"PANTONE 7581 UP","7581","#a9714c"
"PANTONE 7582 UP","7582","#805b39"
"PANTONE 1625 UP","1625","#f7b89e"
"PANTONE 1635 UP","1635","#f6ad85"
"PANTONE 1645 UP","1645","#f49d6b"
"PANTONE 1655 UP","1655","#f28c40"
"PANTONE 1665 UP","1665","#ef792c"
"PANTONE 1675 UP","1675","#c66d2d"
"PANTONE 1685 UP","1685","#b36d37"
"PANTONE 169 UP","169","#f9c8bd"
"PANTONE 170 UP","170","#f49d83"
"PANTONE 171 UP","171","#f3987a"
"PANTONE 172 UP","172","#f18649"
"PANTONE 173 UP","173","#e5662f"
"PANTONE 174 UP","174","#bb6534"
"PANTONE 175 UP","175","#955632"
"PANTONE 7583 UP","7583","#e28332"
"PANTONE 7584 UP","7584","#e08232"
"PANTONE 7585 UP","7585","#d48756"
"PANTONE 7586 UP","7586","#be7227"
"PANTONE 7587 UP","7587","#b36f36"
"PANTONE 7588 UP","7588","#9f6b47"
"PANTONE 7589 UP","7589","#7a6559"
"PANTONE 7590 UP","7590","#edc9b5"
"PANTONE 7591 UP","7591","#dc9366"
"PANTONE 7592 UP","7592","#d48358"
"PANTONE 7593 UP","7593","#bd673b"
"PANTONE 7594 UP","7594","#a76035"
"PANTONE 7595 UP","7595","#8e5e3e"
"PANTONE 7596 UP","7596","#7d5a38"
"PANTONE 7597 UP","7597","#ed6f2e"
"PANTONE 7598 UP","7598","#de642f"
"PANTONE 7599 UP","7599","#c55939"
"PANTONE 7600 UP","7600","#b36b36"
"PANTONE 7601 UP","7601","#af6534"
"PANTONE 7602 UP","7602","#9f6c48"
"PANTONE 7603 UP","7603","#89603e"
"PANTONE 7604 UP","7604","#faeeee"
"PANTONE 7605 UP","7605","#fbdedc"
"PANTONE 7606 UP","7606","#efb6bb"
"PANTONE 7607 UP","7607","#e7a59f"
"PANTONE 7608 UP","7608","#c97467"
"PANTONE 7609 UP","7609","#af6153"
"PANTONE 7610 UP","7610","#8c534f"
"PANTONE 7611 UP","7611","#f7e4e0"
"PANTONE 7612 UP","7612","#eabbaf"
"PANTONE 7613 UP","7613","#deb1a3"
"PANTONE 7614 UP","7614","#bd998b"
"PANTONE 7615 UP","7615","#a197ad"
"PANTONE 7616 UP","7616","#92817f"
"PANTONE 7617 UP","7617","#806f6e"
"PANTONE 7520 UP","7520","#f7d1c5"
"PANTONE 7521 UP","7521","#e0b09c"
"PANTONE 7522 UP","7522","#c67f65"
"PANTONE 7523 UP","7523","#bc7c6e"
"PANTONE 7524 UP","7524","#b86e59"
"PANTONE 7525 UP","7525","#b07e5d"
"PANTONE 7526 UP","7526","#ae653b"
"PANTONE 489 UP","489","#fcd9cb"
"PANTONE 488 UP","488","#f9c5b4"
"PANTONE 487 UP","487","#f5ad99"
"PANTONE 486 UP","486","#f39984"
"PANTONE 485 UP","485","#ea6332"
"PANTONE 484 UP","484","#bb603d"
"PANTONE 483 UP","483","#8e5532"
"PANTONE 176 UP","176","#f8c9ca"
"PANTONE 177 UP","177","#f4a7a2"
"PANTONE 178 UP","178","#f2978c"
"PANTONE Warm Red UP","warm-red","#f1886d"
"PANTONE 179 UP","179","#e65f38"
"PANTONE 180 UP","180","#cd5d4d"
"PANTONE 181 UP","181","#a04e3a"
"PANTONE 1765 UP","1765","#f7bbbf"
"PANTONE 1775 UP","1775","#f39fa7"
"PANTONE 1785 UP","1785","#ee7773"
"PANTONE 1788 UP","1788","#ed6a56"
"PANTONE 1795 UP","1795","#e04c35"
"PANTONE 1805 UP","1805","#ca5549"
"PANTONE 1815 UP","1815","#a74a3e"
"PANTONE 1767 UP","1767","#f7c2d0"
"PANTONE 1777 UP","1777","#ef8391"
"PANTONE 1787 UP","1787","#ee7777"
"PANTONE Red 032 UP","red-032","#ea594a"
"PANTONE 1797 UP","1797","#df4335"
"PANTONE 1807 UP","1807","#bf434d"
"PANTONE 1817 UP","1817","#883f3e"
"PANTONE 7618 UP","7618","#e6855b"
"PANTONE 7619 UP","7619","#dc5f3a"
"PANTONE 7620 UP","7620","#d5402d"
"PANTONE 7621 UP","7621","#d03b31"
"PANTONE 7622 UP","7622","#b72c32"
"PANTONE 7623 UP","7623","#a72d2d"
"PANTONE 7624 UP","7624","#982d2c"
"PANTONE 7625 UP","7625","#f0866d"
"PANTONE 7626 UP","7626","#e66755"
"PANTONE 7627 UP","7627","#cb5349"
"PANTONE 7628 UP","7628","#c85246"
"PANTONE 7629 UP","7629","#8d473f"
"PANTONE 7630 UP","7630","#814039"
"PANTONE 7631 UP","7631","#763a33"
"PANTONE 7415 UP","7415","#f7c8b3"
"PANTONE 7416 UP","7416","#ee7d51"
"PANTONE 7417 UP","7417","#ee7648"
"PANTONE 7418 UP","7418","#d45e56"
"PANTONE 7419 UP","7419","#b8555c"
"PANTONE 7420 UP","7420","#b54055"
"PANTONE 7421 UP","7421","#924557"
"PANTONE 182 UP","182","#f7c4d1"
"PANTONE 183 UP","183","#f29eac"
"PANTONE 184 UP","184","#ef7e8a"
"PANTONE 185 UP","185","#e9525e"
"PANTONE 186 UP","186","#e03a44"
"PANTONE 187 UP","187","#c44652"
"PANTONE 188 UP","188","#983e48"
"PANTONE 196 UP","196","#f9d1d5"
"PANTONE 197 UP","197","#f5b0bc"
"PANTONE 198 UP","198","#ec6672"
"PANTONE 199 UP","199","#e52a3c"
"PANTONE 200 UP","200","#d4444e"
"PANTONE 201 UP","201","#b83b4a"
"PANTONE 202 UP","202","#a03a3f"
"PANTONE 189 UP","189","#f6b8cb"
"PANTONE 190 UP","190","#f194aa"
"PANTONE 191 UP","191","#ee788d"
"PANTONE 192 UP","192","#e84858"
"PANTONE 193 UP","193","#d43c59"
"PANTONE 194 UP","194","#b34054"
"PANTONE 195 UP","195","#95404c"
"PANTONE 1895 UP","1895","#f6c1d4"
"PANTONE 1905 UP","1905","#f3a5bf"
"PANTONE 1915 UP","1915","#ed6d8f"
"PANTONE 1925 UP","1925","#e73c58"
"PANTONE 1935 UP","1935","#da2652"
"PANTONE 1945 UP","1945","#c33358"
"PANTONE 1955 UP","1955","#ae2d50"
"PANTONE 705 UP","705","#fce6e7"
"PANTONE 706 UP","706","#fad8de"
"PANTONE 707 UP","707","#f7c2cd"
"PANTONE 708 UP","708","#f4abba"
"PANTONE 709 UP","709","#f08b9c"
"PANTONE 710 UP","710","#ee7480"
"PANTONE 711 UP","711","#e55962"
"PANTONE 698 UP","698","#fbdfe3"
"PANTONE 699 UP","699","#f9d1d9"
"PANTONE 700 UP","700","#f5b6c5"
"PANTONE 701 UP","701","#f09daf"
"PANTONE 702 UP","702","#e38698"
"PANTONE 703 UP","703","#d26c7a"
"PANTONE 704 UP","704","#c04655"
"PANTONE 203 UP","203","#f5b9cf"
"PANTONE 204 UP","204","#f08eae"
"PANTONE 205 UP","205","#e95983"
"PANTONE 206 UP","206","#e11f55"
"PANTONE 207 UP","207","#c42b59"
"PANTONE 208 UP","208","#a52d53"
"PANTONE 209 UP","209","#943550"
"PANTONE 210 UP","210","#f1aac8"
"PANTONE 211 UP","211","#ee90b9"
"PANTONE 212 UP","212","#ed75a4"
"PANTONE 213 UP","213","#e84586"
"PANTONE 214 UP","214","#de2879"
"PANTONE 215 UP","215","#bc1d68"
"PANTONE 216 UP","216","#9a305d"
"PANTONE 7422 UP","7422","#fbe1e5"
"PANTONE 7423 UP","7423","#eb7792"
"PANTONE 7424 UP","7424","#e23578"
"PANTONE 7425 UP","7425","#ce3e6a"
"PANTONE 7426 UP","7426","#ca3e66"
"PANTONE 7427 UP","7427","#bd3f49"
"PANTONE 7428 UP","7428","#904858"
"PANTONE 7632 UP","7632","#f6ebee"
"PANTONE 7633 UP","7633","#e8cfd5"
"PANTONE 7634 UP","7634","#db859a"
"PANTONE 7635 UP","7635","#e3507c"
"PANTONE 7636 UP","7636","#da386f"
"PANTONE 7637 UP","7637","#a93758"
"PANTONE 7638 UP","7638","#983752"
"PANTONE 217 UP","217","#f6cee2"
"PANTONE 218 UP","218","#ee97bf"
"PANTONE 219 UP","219","#e65e9b"
"PANTONE Rubine Red UP","rubine-red","#e32680"
"PANTONE 220 UP","220","#c11f71"
"PANTONE 221 UP","221","#af256a"
"PANTONE 222 UP","222","#903261"
"PANTONE 7639 UP","7639","#b68c90"
"PANTONE 7640 UP","7640","#b86f86"
"PANTONE 7641 UP","7641","#b6657d"
"PANTONE 7642 UP","7642","#834e66"
"PANTONE 7643 UP","7643","#7b4c64"
"PANTONE 7644 UP","7644","#774b62"
"PANTONE 7645 UP","7645","#72485e"
"PANTONE 223 UP","223","#f0bcd6"
"PANTONE 224 UP","224","#eb9ec3"
"PANTONE 225 UP","225","#e472a8"
"PANTONE 226 UP","226","#e22582"
"PANTONE 227 UP","227","#c73b85"
"PANTONE 228 UP","228","#a72e74"
"PANTONE 229 UP","229","#822859"
"PANTONE 230 UP","230","#f1bfd9"
"PANTONE 231 UP","231","#eaa2c6"
"PANTONE 232 UP","232","#e591bb"
"PANTONE Rhodamine Red UP","rhodamine-red","#dc76aa"
"PANTONE 233 UP","233","#d24d93"
"PANTONE 234 UP","234","#bb3984"
"PANTONE 235 UP","235","#a42c72"
"PANTONE 670 UP","670","#f9e4ef"
"PANTONE 671 UP","671","#f8d9e8"
"PANTONE 672 UP","672","#f0bed8"
"PANTONE 673 UP","673","#e495be"
"PANTONE 674 UP","674","#dc73a9"
"PANTONE 675 UP","675","#d66da2"
"PANTONE 676 UP","676","#c8548e"
"PANTONE 677 UP","677","#f9e4ee"
"PANTONE 678 UP","678","#f3dce8"
"PANTONE 679 UP","679","#efcadd"
"PANTONE 680 UP","680","#cd93b2"
"PANTONE 681 UP","681","#b46e92"
"PANTONE 682 UP","682","#ab6a8d"
"PANTONE 683 UP","683","#9a4b71"
"PANTONE 684 UP","684","#f7dee6"
"PANTONE 685 UP","685","#f5d2e3"
"PANTONE 686 UP","686","#eac1d5"
"PANTONE 687 UP","687","#d6a1bc"
"PANTONE 688 UP","688","#b37296"
"PANTONE 689 UP","689","#9a4f78"
"PANTONE 690 UP","690","#975177"
"PANTONE 510 UP","510","#f9d2dd"
"PANTONE 509 UP","509","#f1bbcc"
"PANTONE 508 UP","508","#ebb4c7"
"PANTONE 507 UP","507","#dc96ad"
"PANTONE 506 UP","506","#b77188"
"PANTONE 505 UP","505","#99505a"
"PANTONE 504 UP","504","#8c4b4c"
"PANTONE 7429 UP","7429","#f8dbe4"
"PANTONE 7430 UP","7430","#f4ccdb"
"PANTONE 7431 UP","7431","#e7aec2"
"PANTONE 7432 UP","7432","#d087a0"
"PANTONE 7433 UP","7433","#c76e8a"
"PANTONE 7434 UP","7434","#c36c87"
"PANTONE 7435 UP","7435","#9b345d"
"PANTONE 691 UP","691","#f8e1e3"
"PANTONE 692 UP","692","#f1d4da"
"PANTONE 693 UP","693","#e0b1ba"
"PANTONE 694 UP","694","#dba4b3"
"PANTONE 695 UP","695","#c38592"
"PANTONE 696 UP","696","#b06d76"
"PANTONE 697 UP","697","#9f565e"
"PANTONE 496 UP","496","#f7cdd5"
"PANTONE 495 UP","495","#f3bbc8"
"PANTONE 494 UP","494","#eba9b7"
"PANTONE 493 UP","493","#d68694"
"PANTONE 492 UP","492","#b45252"
"PANTONE 491 UP","491","#a14d47"
"PANTONE 490 UP","490","#8b473b"
"PANTONE 503 UP","503","#f8d7dd"
