"PANTONE Process Yellow UP","process-yellow","#ffed00"
"PANTONE Process Magenta UP","process-magenta","#e3007d"
"PANTONE Process Cyan UP","process-cyan","#00a0e1"
"PANTONE Process Black UP","process-black","#2d2c2b"
"PANTONE 7541 UP","7541","#f1f7f7"
"PANTONE 7542 UP","7542","#bdd9dd"
"PANTONE 7543 UP","7543","#bdced4"
"PANTONE 7544 UP","7544","#adc4cc"
"PANTONE 7545 UP","7545","#7b8a93"
"PANTONE 7546 UP","7546","#5a6f7e"
"PANTONE 7547 UP","7547","#4c5b68"
"PANTONE 552 UP","552","#c9e6eb"
"PANTONE 551 UP","551","#b1d7df"
"PANTONE 550 UP","550","#8fc7d6"
"PANTONE 549 UP","549","#6cb6c8"
"PANTONE 548 UP","548","#005d6d"
"PANTONE 547 UP","547","#005565"
"PANTONE 546 UP","546","#1b4e57"
"PANTONE 5455 UP","5455","#e4eef1"
"PANTONE 5445 UP","5445","#bdd6e1"
"PANTONE 5435 UP","5435","#afcbd8"
"PANTONE 5425 UP","5425","#80a4b4"
"PANTONE 5415 UP","5415","#6b8d9d"
"PANTONE 5405 UP","5405","#628191"
"PANTONE 5395 UP","5395","#12415a"
"PANTONE 642 UP","642","#e1eef5"
"PANTONE 643 UP","643","#cce2f1"
"PANTONE 644 UP","644","#9ec7e0"
"PANTONE 645 UP","645","#72a8cc"
"PANTONE 646 UP","646","#659abe"
"PANTONE 647 UP","647","#2f78a6"
"PANTONE 648 UP","648","#00568b"
"PANTONE 649 UP","649","#e5eef5"
"PANTONE 650 UP","650","#dbe7f0"
"PANTONE 651 UP","651","#b2d1ea"
"PANTONE 652 UP","652","#78acd6"
"PANTONE 653 UP","653","#367cad"
"PANTONE 654 UP","654","#005a90"
"PANTONE 655 UP","655","#005386"
"PANTONE 656 UP","656","#e6eef5"
"PANTONE 657 UP","657","#dbebf7"
"PANTONE 658 UP","658","#bcd9ee"
"PANTONE 659 UP","659","#a0c6e6"
"PANTONE 660 UP","660","#6fa5d3"
"PANTONE 661 UP","661","#0e73b5"
"PANTONE 662 UP","662","#0057a0"
"PANTONE 7450 UP","7450","#dae1ed"
"PANTONE 7451 UP","7451","#b2cde9"
"PANTONE 7452 UP","7452","#a4badd"
"PANTONE 7453 UP","7453","#9ac7e8"
"PANTONE 7454 UP","7454","#60a6c6"
"PANTONE 7455 UP","7455","#668ec4"
"PANTONE 7456 UP","7456","#7893c6"
"PANTONE 2706 UP","2706","#dae1ef"
"PANTONE 2716 UP","2716","#b5c0e0"
"PANTONE 2726 UP","2726","#7d8cc1"
"PANTONE 2736 UP","2736","#5f70af"
"PANTONE 2746 UP","2746","#46569c"
"PANTONE 2756 UP","2756","#32468d"
"PANTONE 2766 UP","2766","#37447a"
"PANTONE 2708 UP","2708","#c6d9ed"
"PANTONE 2718 UP","2718","#82a7d4"
"PANTONE 2728 UP","2728","#547ab7"
"PANTONE 2738 UP","2738","#4660a4"
"PANTONE 2748 UP","2748","#1b4685"
"PANTONE 2758 UP","2758","#1e4381"
"PANTONE 2768 UP","2768","#26416d"
"PANTONE 2707 UP","2707","#cfe4f3"
"PANTONE 2717 UP","2717","#b4d6ee"
"PANTONE 2727 UP","2727","#6a9bcd"
"PANTONE Blue 072 UP","blue-072","#4a69aa"
"PANTONE 2747 UP","2747","#004a8e"
"PANTONE 2757 UP","2757","#1e4381"
"PANTONE 2767 UP","2767","#22416e"
"PANTONE 277 UP","277","#b6ddf1"
"PANTONE 278 UP","278","#9fceea"
"PANTONE 279 UP","279","#519dd1"
"PANTONE Reflex Blue UP","reflex-blue","#1e59a0"
"PANTONE 280 UP","280","#004c91"
"PANTONE 281 UP","281","#044680"
"PANTONE 282 UP","282","#204370"
"PANTONE 283 UP","283","#b5dbf0"
"PANTONE 284 UP","284","#99cbea"
"PANTONE 285 UP","285","#449acf"
"PANTONE 286 UP","286","#1f69ad"
"PANTONE 287 UP","287","#0063a9"
"PANTONE 288 UP","288","#005392"
"PANTONE 289 UP","289","#01476f"
"PANTONE 7681 UP","7681","#a8c9e7"
"PANTONE 7682 UP","7682","#81abd4"
"PANTONE 7683 UP","7683","#6290c4"
"PANTONE 7684 UP","7684","#3d75b5"
"PANTONE 7685 UP","7685","#3f74b4"
"PANTONE 7686 UP","7686","#005fa6"
"PANTONE 7687 UP","7687","#005096"
"PANTONE 545 UP","545","#c6e4ef"
"PANTONE 544 UP","544","#9acde3"
"PANTONE 543 UP","543","#88c5df"
"PANTONE 542 UP","542","#6eb4d3"
"PANTONE 541 UP","541","#005988"
"PANTONE 540 UP","540","#005276"
"PANTONE 539 UP","539","#415771"
"PANTONE 290 UP","290","#b6e1f3"
"PANTONE 291 UP","291","#9ed6f0"
"PANTONE 292 UP","292","#76c1e7"
"PANTONE 293 UP","293","#006db2"
"PANTONE 294 UP","294","#005d97"
"PANTONE 295 UP","295","#005482"
"PANTONE 296 UP","296","#01465c"
"PANTONE 2905 UP","2905","#aaddef"
"PANTONE 2915 UP","2915","#78caeb"
"PANTONE 2925 UP","2925","#3eb2e1"
"PANTONE 2935 UP","2935","#006db3"
"PANTONE 2945 UP","2945","#0065a2"
"PANTONE 2955 UP","2955","#005982"
"PANTONE 2965 UP","2965","#004d6a"
"PANTONE 297 UP","297","#a2daef"
"PANTONE 298 UP","298","#77cced"
"PANTONE 299 UP","299","#2db3e2"
"PANTONE 300 UP","300","#007fc4"
"PANTONE 301 UP","301","#006fa5"
"PANTONE 302 UP","302","#005d82"
"PANTONE 303 UP","303","#00536c"
"PANTONE 7688 UP","7688","#46acd8"
"PANTONE 7689 UP","7689","#30a2d0"
"PANTONE 7690 UP","7690","#0081b5"
"PANTONE 7691 UP","7691","#0074ad"
"PANTONE 7692 UP","7692","#00669d"
"PANTONE 7693 UP","7693","#005d8f"
"PANTONE 7694 UP","7694","#005a8b"
"PANTONE 2975 UP","2975","#97d7e8"
"PANTONE 2985 UP","2985","#3cc2e8"
"PANTONE 2995 UP","2995","#00aae3"
"PANTONE 3005 UP","3005","#008cce"
"PANTONE 3015 UP","3015","#007bad"
"PANTONE 3025 UP","3025","#006686"
"PANTONE 3035 UP","3035","#005366"
"PANTONE 7695 UP","7695","#8fbfd3"
"PANTONE 7696 UP","7696","#75b1c7"
"PANTONE 7697 UP","7697","#65a6bc"
"PANTONE 7698 UP","7698","#42849d"
"PANTONE 7699 UP","7699","#2c798f"
"PANTONE 7700 UP","7700","#2a7994"
"PANTONE 7701 UP","7701","#007893"
"PANTONE 7457 UP","7457","#def1f3"
"PANTONE 7458 UP","7458","#49b6d1"
"PANTONE 7459 UP","7459","#009ebd"
"PANTONE 7460 UP","7460","#009fd1"
"PANTONE 7461 UP","7461","#39a1cf"
"PANTONE 7462 UP","7462","#2786b1"
"PANTONE 7463 UP","7463","#0a6284"
"PANTONE 304 UP","304","#a6dbe4"
"PANTONE 305 UP","305","#75cce0"
"PANTONE 306 UP","306","#00b8d9"
"PANTONE Process Blue UP","process-blue","#0094d0"
"PANTONE 307 UP","307","#0083b4"
"PANTONE 308 UP","308","#006f8f"
"PANTONE 309 UP","309","#005766"
"PANTONE 635 UP","635","#b8e2ea"
"PANTONE 636 UP","636","#aedee7"
"PANTONE 637 UP","637","#87d1e0"
"PANTONE 638 UP","638","#5cc6dd"
"PANTONE 639 UP","639","#00a1ce"
"PANTONE 640 UP","640","#0094c6"
"PANTONE 641 UP","641","#008bbd"
"PANTONE 7702 UP","7702","#5cbdd6"
"PANTONE 7703 UP","7703","#29b4d5"
"PANTONE 7704 UP","7704","#009bc1"
"PANTONE 7705 UP","7705","#0083ab"
"PANTONE 7706 UP","7706","#0080a8"
"PANTONE 7707 UP","7707","#007498"
"PANTONE 7708 UP","7708","#006986"
"PANTONE 628 UP","628","#d1ebea"
"PANTONE 629 UP","629","#b8e1e6"
"PANTONE 630 UP","630","#92d4e1"
"PANTONE 631 UP","631","#66c8da"
"PANTONE 632 UP","632","#00b3ce"
"PANTONE 633 UP","633","#0089ad"
"PANTONE 634 UP","634","#00799b"
"PANTONE 310 UP","310","#98d6e3"
"PANTONE 311 UP","311","#6dcade"
"PANTONE 312 UP","312","#00b7d6"
"PANTONE 313 UP","313","#009cc3"
"PANTONE 314 UP","314","#008db0"
"PANTONE 315 UP","315","#00768f"
"PANTONE 316 UP","316","#005868"
"PANTONE 3105 UP","3105","#8ed3dd"
"PANTONE 3115 UP","3115","#77cbd6"
"PANTONE 3125 UP","3125","#39becf"
"PANTONE 3135 UP","3135","#009cb5"
"PANTONE 3145 UP","3145","#00869b"
"PANTONE 3155 UP","3155","#007585"
"PANTONE 3165 UP","3165","#00646d"
"PANTONE 7709 UP","7709","#73c6d0"
"PANTONE 7710 UP","7710","#20bacb"
"PANTONE 7711 UP","7711","#00abc1"
"PANTONE 7712 UP","7712","#0097ad"
"PANTONE 7713 UP","7713","#008b9c"
"PANTONE 7714 UP","7714","#008392"
"PANTONE 7715 UP","7715","#00707e"
"PANTONE 317 UP","317","#b9e1df"
"PANTONE 318 UP","318","#8dd1d4"
"PANTONE 319 UP","319","#7fcdd2"
"PANTONE 320 UP","320","#00a2a9"
"PANTONE 321 UP","321","#009399"
"PANTONE 322 UP","322","#008184"
"PANTONE 323 UP","323","#006e6e"
"PANTONE 7464 UP","7464","#c3e5e4"
"PANTONE 7465 UP","7465","#7bc9bd"
"PANTONE 7466 UP","7466","#0eb7bd"
"PANTONE 7467 UP","7467","#00b3b8"
"PANTONE 7468 UP","7468","#007da2"
"PANTONE 7469 UP","7469","#006e93"
"PANTONE 7470 UP","7470","#007181"
"PANTONE 7471 UP","7471","#9ad4cf"
"PANTONE 7472 UP","7472","#8bcfca"
"PANTONE 7473 UP","7473","#44b29e"
"PANTONE 7474 UP","7474","#00949e"
"PANTONE 7475 UP","7475","#599794"
"PANTONE 7476 UP","7476","#2b7a7a"
"PANTONE 7477 UP","7477","#397177"
"PANTONE 5523 UP","5523","#d8ecea"
"PANTONE 5513 UP","5513","#c5e3e4"
"PANTONE 5503 UP","5503","#afd8db"
"PANTONE 5493 UP","5493","#8ababe"
"PANTONE 5483 UP","5483","#4b9498"
"PANTONE 5473 UP","5473","#42858a"
"PANTONE 5463 UP","5463","#005057"
"PANTONE 7716 UP","7716","#2aada6"
"PANTONE 7717 UP","7717","#009a96"
"PANTONE 7718 UP","7718","#00887f"
"PANTONE 7719 UP","7719","#007674"
"PANTONE 7720 UP","7720","#006e6b"
"PANTONE 7721 UP","7721","#006862"
"PANTONE 7722 UP","7722","#00635d"
"PANTONE 324 UP","324","#aadbda"
"PANTONE 325 UP","325","#80ccc9"
"PANTONE 326 UP","326","#41baaf"
"PANTONE 327 UP","327","#009984"
"PANTONE 328 UP","328","#008575"
"PANTONE 329 UP","329","#007b6d"
"PANTONE 330 UP","330","#005f51"
"PANTONE 3242 UP","3242","#94d3ce"
"PANTONE 3252 UP","3252","#8bcfcb"
"PANTONE 3262 UP","3262","#4fbdb2"
"PANTONE 3272 UP","3272","#00afa3"
"PANTONE 3282 UP","3282","#009687"
"PANTONE 3292 UP","3292","#007d70"
"PANTONE 3302 UP","3302","#006252"
"PANTONE 3245 UP","3245","#95d2cb"
"PANTONE 3255 UP","3255","#91d1c8"
"PANTONE 3265 UP","3265","#6dc5b9"
"PANTONE 3275 UP","3275","#42baab"
"PANTONE 3285 UP","3285","#00aa91"
"PANTONE 3295 UP","3295","#009275"
"PANTONE 3305 UP","3305","#006e57"
"PANTONE 3248 UP","3248","#8ccec3"
"PANTONE 3258 UP","3258","#78c8ba"
"PANTONE 3268 UP","3268","#4ebba7"
"PANTONE 3278 UP","3278","#00ac92"
"PANTONE 3288 UP","3288","#009573"
"PANTONE 3298 UP","3298","#007a5e"
"PANTONE 3308 UP","3308","#005a43"
"PANTONE 566 UP","566","#c8e6dd"
"PANTONE 565 UP","565","#b9e0d8"
"PANTONE 564 UP","564","#a0d6cc"
"PANTONE 563 UP","563","#8fd0c7"
"PANTONE 562 UP","562","#009381"
"PANTONE 561 UP","561","#007962"
"PANTONE 560 UP","560","#1f513a"
"PANTONE 573 UP","573","#cae7de"
"PANTONE 572 UP","572","#bee2d8"
"PANTONE 571 UP","571","#a3d7cc"
"PANTONE 570 UP","570","#80cab9"
"PANTONE 569 UP","569","#009882"
"PANTONE 568 UP","568","#007e66"
"PANTONE 567 UP","567","#0e644d"
"PANTONE 559 UP","559","#c9e0ce"
"PANTONE 558 UP","558","#bedbc8"
"PANTONE 557 UP","557","#a3cdb7"
"PANTONE 556 UP","556","#79b18d"
"PANTONE 555 UP","555","#458958"
"PANTONE 554 UP","554","#427b4a"
"PANTONE 553 UP","553","#4c6942"
"PANTONE 5595 UP","5595","#dce8df"
"PANTONE 5585 UP","5585","#cde1d6"
"PANTONE 5575 UP","5575","#b9d2c5"
"PANTONE 5565 UP","5565","#9ebfb1"
"PANTONE 5555 UP","5555","#84a998"
"PANTONE 5545 UP","5545","#688a78"
"PANTONE 5535 UP","5535","#1f4c37"
"PANTONE 5665 UP","5665","#d8e6dc"
"PANTONE 5655 UP","5655","#ccd9cc"
"PANTONE 5645 UP","5645","#afc1b0"
"PANTONE 5635 UP","5635","#92ac9a"
"PANTONE 5625 UP","5625","#799077"
"PANTONE 5615 UP","5615","#6a826b"
"PANTONE 5605 UP","5605","#576b4e"
"PANTONE 5527 UP","5527","#d7e1dd"
"PANTONE 5517 UP","5517","#b8cdc8"
"PANTONE 5507 UP","5507","#a3bab5"
"PANTONE 5497 UP","5497","#8aa49e"
"PANTONE 5487 UP","5487","#648278"
"PANTONE 5477 UP","5477","#5e7a70"
"PANTONE 5467 UP","5467","#395645"
"PANTONE 621 UP","621","#dae8dd"
"PANTONE 622 UP","622","#cde3d8"
"PANTONE 623 UP","623","#b6d3c7"
"PANTONE 624 UP","624","#96c0b1"
"PANTONE 625 UP","625","#76a597"
"PANTONE 626 UP","626","#5b8e7b"
"PANTONE 627 UP","627","#356c55"
"PANTONE 331 UP","331","#b8dfd5"
"PANTONE 332 UP","332","#a6d8ca"
"PANTONE 333 UP","333","#6ec4b0"
"PANTONE Green UP","green","#00a786"
"PANTONE 334 UP","334","#009a75"
"PANTONE 335 UP","335","#00886a"
"PANTONE 336 UP","336","#00765b"
"PANTONE 337 UP","337","#90cfbe"
"PANTONE 338 UP","338","#7dc8b1"
"PANTONE 339 UP","339","#49b894"
"PANTONE 340 UP","340","#009e61"
"PANTONE 341 UP","341","#007f52"
"PANTONE 342 UP","342","#00744c"
"PANTONE 343 UP","343","#006443"
"PANTONE 7723 UP","7723","#7ac2ab"
"PANTONE 7724 UP","7724","#1fa57e"
"PANTONE 7725 UP","7725","#009d6d"
"PANTONE 7726 UP","7726","#00864d"
"PANTONE 7727 UP","7727","#007841"
"PANTONE 7728 UP","7728","#006f3d"
"PANTONE 7729 UP","7729","#00663d"
"PANTONE 3375 UP","3375","#9ad1b5"
"PANTONE 3385 UP","3385","#83c7a2"
"PANTONE 3395 UP","3395","#64bd91"
"PANTONE 3405 UP","3405","#00ab74"
"PANTONE 3415 UP","3415","#008c56"
"PANTONE 3425 UP","3425","#00804e"
"PANTONE 3435 UP","3435","#006d45"
"PANTONE 344 UP","344","#9ad0b0"
"PANTONE 345 UP","345","#98cfad"
"PANTONE 346 UP","346","#7ec496"
"PANTONE 347 UP","347","#44b16b"
"PANTONE 348 UP","348","#009942"
"PANTONE 349 UP","349","#177e3a"
"PANTONE 350 UP","350","#446c39"
"PANTONE 351 UP","351","#9ed1ad"
"PANTONE 352 UP","352","#99cfa7"
"PANTONE 353 UP","353","#94cca1"
"PANTONE 354 UP","354","#3fae5a"
"PANTONE 355 UP","355","#00a448"
"PANTONE 356 UP","356","#189141"
"PANTONE 357 UP","357","#3a7539"
"PANTONE 7478 UP","7478","#b6ddc6"
"PANTONE 7479 UP","7479","#7cc287"
"PANTONE 7480 UP","7480","#7bc28e"
"PANTONE 7481 UP","7481","#5cb669"
"PANTONE 7482 UP","7482","#3eb069"
"PANTONE 7483 UP","7483","#407a3e"
"PANTONE 7484 UP","7484","#006f44"
"PANTONE 7730 UP","7730","#6bad6b"
"PANTONE 7731 UP","7731","#4da062"
"PANTONE 7732 UP","7732","#219145"
"PANTONE 7733 UP","7733","#00803a"
"PANTONE 7734 UP","7734","#006f3b"
"PANTONE 7735 UP","7735","#436944"
"PANTONE 7736 UP","7736","#416248"
"PANTONE 7737 UP","7737","#8fbc42"
"PANTONE 7738 UP","7738","#7aba4b"
"PANTONE 7739 UP","7739","#4cab38"
"PANTONE 7740 UP","7740","#64a844"
"PANTONE 7741 UP","7741","#67a33c"
"PANTONE 7742 UP","7742","#649335"
"PANTONE 7743 UP","7743","#5c8031"
"PANTONE 358 UP","358","#b8d89f"
"PANTONE 359 UP","359","#a9d088"
"PANTONE 360 UP","360","#94c568"
"PANTONE 361 UP","361","#83bd4a"
"PANTONE 362 UP","362","#6eaa3d"
"PANTONE 363 UP","363","#6a9c34"
"PANTONE 364 UP","364","#648c33"
"PANTONE 7485 UP","7485","#f1f6e1"
"PANTONE 7486 UP","7486","#cce2b0"
"PANTONE 7487 UP","7487","#bdda9c"
"PANTONE 7488 UP","7488","#a4ce84"
"PANTONE 7489 UP","7489","#80b74d"
"PANTONE 7490 UP","7490","#82ac50"
"PANTONE 7491 UP","7491","#8a9943"
"PANTONE 365 UP","365","#d1e2a6"
"PANTONE 366 UP","366","#bcd681"
"PANTONE 367 UP","367","#aacc64"
"PANTONE 368 UP","368","#8fc14c"
"PANTONE 369 UP","369","#84b93e"
"PANTONE 370 UP","370","#82a32f"
"PANTONE 371 UP","371","#7d8635"
"PANTONE 372 UP","372","#dde7a2"
"PANTONE 373 UP","373","#cfde8d"
"PANTONE 374 UP","374","#c4d873"
"PANTONE 375 UP","375","#b3cf62"
"PANTONE 376 UP","376","#98be33"
"PANTONE 377 UP","377","#8fa729"
"PANTONE 378 UP","378","#878e34"
"PANTONE 580 UP","580","#dce9c3"
"PANTONE 579 UP","579","#d6e5b4"
"PANTONE 578 UP","578","#cddea5"
"PANTONE 577 UP","577","#b1ce8c"
"PANTONE 576 UP","576","#81a339"
"PANTONE 575 UP","575","#7b9139"
"PANTONE 574 UP","574","#6f7b3b"
"PANTONE 5807 UP","5807","#e4e6c5"
"PANTONE 5797 UP","5797","#e1e2bd"
"PANTONE 5787 UP","5787","#d0d5a6"
"PANTONE 5777 UP","5777","#c2c990"
"PANTONE 5767 UP","5767","#aeb473"
"PANTONE 5757 UP","5757","#9ca35b"
"PANTONE 5747 UP","5747","#838649"
"PANTONE 5875 UP","5875","#ebe6b9"
"PANTONE 5865 UP","5865","#e8e2b3"
"PANTONE 5855 UP","5855","#dbd6a0"
"PANTONE 5845 UP","5845","#c3be7d"
"PANTONE 5835 UP","5835","#a69e4e"
"PANTONE 5825 UP","5825","#a29b4d"
"PANTONE 5815 UP","5815","#8b8334"
"PANTONE 5803 UP","5803","#e2e5c5"
"PANTONE 5793 UP","5793","#d7ddc6"
"PANTONE 5783 UP","5783","#c9d1b0"
"PANTONE 5773 UP","5773","#b2bd9a"
"PANTONE 5763 UP","5763","#92a074"
"PANTONE 5753 UP","5753","#828b59"
"PANTONE 5743 UP","5743","#707944"
"PANTONE 7492 UP","7492","#d1d995"
"PANTONE 7493 UP","7493","#cfdbad"
"PANTONE 7494 UP","7494","#adc39e"
"PANTONE 7495 UP","7495","#939c2e"
"PANTONE 7496 UP","7496","#8b952d"
"PANTONE 7497 UP","7497","#969072"
"PANTONE 7498 UP","7498","#798147"
"PANTONE 7744 UP","7744","#d6d100"
"PANTONE 7745 UP","7745","#c8c41e"
"PANTONE 7746 UP","7746","#b4b12d"
"PANTONE 7747 UP","7747","#a5a436"
"PANTONE 7748 UP","7748","#989937"
"PANTONE 7749 UP","7749","#8e8d42"
"PANTONE 7750 UP","7750","#808043"
"PANTONE 379 UP","379","#f3ed8d"
"PANTONE 380 UP","380","#e8e77c"
"PANTONE 381 UP","381","#d4da49"
"PANTONE 382 UP","382","#c2d346"
"PANTONE 383 UP","383","#afb41b"
"PANTONE 384 UP","384","#a7a82a"
"PANTONE 385 UP","385","#979130"
"PANTONE 386 UP","386","#f3ed90"
"PANTONE 387 UP","387","#f1eb84"
"PANTONE 388 UP","388","#e7e358"
"PANTONE 389 UP","389","#d6dc54"
"PANTONE 390 UP","390","#bbc115"
"PANTONE 391 UP","391","#a9a51d"
"PANTONE 392 UP","392","#9e9729"
"PANTONE 587 UP","587","#f6f09e"
"PANTONE 586 UP","586","#f5ef92"
"PANTONE 585 UP","585","#ece888"
"PANTONE 584 UP","584","#e3de59"
"PANTONE 583 UP","583","#c7c424"
"PANTONE 582 UP","582","#ada623"
"PANTONE 581 UP","581","#8f882e"
"PANTONE 393 UP","393","#faf29a"
"PANTONE 394 UP","394","#fef079"
"PANTONE 395 UP","395","#f9eb5b"
"PANTONE 396 UP","396","#f0e539"
"PANTONE 397 UP","397","#d1c700"
"PANTONE 398 UP","398","#bab212"
"PANTONE 399 UP","399","#aea419"
"PANTONE 3935 UP","3935","#fff497"
"PANTONE 3945 UP","3945","#ffee56"
"PANTONE 3955 UP","3955","#fde808"
"PANTONE 3965 UP","3965","#fde700"
"PANTONE 3975 UP","3975","#d3c20f"
"PANTONE 3985 UP","3985","#bfaf1f"
"PANTONE 3995 UP","3995","#9d912c"
"PANTONE 600 UP","600","#fdf5b3"
"PANTONE 601 UP","601","#fef4a6"
"PANTONE 602 UP","602","#fff5a1"
"PANTONE 603 UP","603","#fff388"
"PANTONE 604 UP","604","#ffeb42"
"PANTONE 605 UP","605","#f8e104"
"PANTONE 606 UP","606","#edd600"
"PANTONE 607 UP","607","#fff8c2"
"PANTONE 608 UP","608","#fdf3ac"
"PANTONE 609 UP","609","#faefa0"
"PANTONE 610 UP","610","#f6e566"
"PANTONE 611 UP","611","#e3ce00"
"PANTONE 612 UP","612","#d8c30b"
"PANTONE 613 UP","613","#c9b516"
"PANTONE 461 UP","461","#fdef9e"
"PANTONE 460 UP","460","#fced96"
"PANTONE 459 UP","459","#f6e47e"
"PANTONE 458 UP","458","#e5c82c"
"PANTONE 457 UP","457","#c4a724"
"PANTONE 456 UP","456","#af992d"
"PANTONE 455 UP","455","#8e8033"
"PANTONE 614 UP","614","#f6f2c4"
"PANTONE 615 UP","615","#efe8ab"
"PANTONE 616 UP","616","#e0d791"
"PANTONE 617 UP","617","#d9d086"
"PANTONE 618 UP","618","#c4b962"
"PANTONE 619 UP","619","#b3a646"
"PANTONE 620 UP","620","#a29429"
"PANTONE 7751 UP","7751","#e8d35e"
"PANTONE 7752 UP","7752","#e6cc53"
"PANTONE 7753 UP","7753","#e4c32e"
"PANTONE 7754 UP","7754","#bdab60"
"PANTONE 7755 UP","7755","#a28e4b"
"PANTONE 7756 UP","7756","#887c38"
"PANTONE 7757 UP","7757","#817532"
"PANTONE 7758 UP","7758","#eed816"
"PANTONE 7759 UP","7759","#e0cc10"
"PANTONE 7760 UP","7760","#b3a228"
"PANTONE 7761 UP","7761","#948b2b"
"PANTONE 7762 UP","7762","#777e47"
"PANTONE 7763 UP","7763","#6d6e41"
"PANTONE 7764 UP","7764","#6f7143"
"PANTONE 7765 UP","7765","#dcca2c"
"PANTONE 7766 UP","7766","#d6c522"
"PANTONE 7767 UP","7767","#c4b531"
"PANTONE 7768 UP","7768","#a4962c"
"PANTONE 7769 UP","7769","#887c42"
"PANTONE 7770 UP","7770","#7d7754"
"PANTONE 7771 UP","7771","#675e38"
"PANTONE 4545 UP","4545","#f2e8be"
"PANTONE 4535 UP","4535","#e6dcb3"
"PANTONE 4525 UP","4525","#d6c895"
"PANTONE 4515 UP","4515","#cfc18d"
"PANTONE 4505 UP","4505","#bbaa70"
"PANTONE 4495 UP","4495","#a08c44"
"PANTONE 4485 UP","4485","#8c7a35"
"PANTONE 454 UP","454","#e3e1bb"
"PANTONE 453 UP","453","#d4d1a8"
"PANTONE 452 UP","452","#bdbb8c"
"PANTONE 451 UP","451","#acaa79"
"PANTONE 450 UP","450","#897d42"
"PANTONE 449 UP","449","#807754"
"PANTONE 448 UP","448","#6f6031"
"PANTONE 7499 UP","7499","#fff7da"
"PANTONE 7500 UP","7500","#f7eec8"
"PANTONE 7501 UP","7501","#f2e5c6"
"PANTONE 7502 UP","7502","#dbc08c"
"PANTONE 7503 UP","7503","#af9d62"
"PANTONE 7504 UP","7504","#a68e75"
"PANTONE 7505 UP","7505","#96754b"
"PANTONE 468 UP","468","#f0e1b6"
"PANTONE 467 UP","467","#ebd7a5"
"PANTONE 466 UP","466","#dac08f"
"PANTONE 465 UP","465","#c6a463"
"PANTONE 464 UP","464","#b2883c"
"PANTONE 463 UP","463","#9d783a"
"PANTONE 462 UP","462","#806735"
"PANTONE 7506 UP","7506","#fef1d4"
"PANTONE 7507 UP","7507","#ffe8c4"
"PANTONE 7508 UP","7508","#f3c88e"
"PANTONE 7509 UP","7509","#e0aa61"
"PANTONE 7510 UP","7510","#d89d55"
"PANTONE 7511 UP","7511","#bd7e2b"
"PANTONE 7512 UP","7512","#b47827"
"PANTONE 719 UP","719","#f9d6b2"
"PANTONE 720 UP","720","#f7d5b2"
"PANTONE 721 UP","721","#f0c097"
"PANTONE 722 UP","722","#db9d61"
"PANTONE 723 UP","723","#d89756"
"PANTONE 724 UP","724","#c17e32"
"PANTONE 725 UP","725","#b7792e"
"PANTONE 475 UP","475","#fbdec4"
"PANTONE 474 UP","474","#fad3b4"
"PANTONE 473 UP","473","#f5b88d"
"PANTONE 472 UP","472","#eb9f66"
"PANTONE 471 UP","471","#d58737"
"PANTONE 470 UP","470","#b87733"
"PANTONE 469 UP","469","#8f6132"
"PANTONE 726 UP","726","#fae4cc"
"PANTONE 727 UP","727","#edc8a2"
"PANTONE 728 UP","728","#e7c19b"
"PANTONE 729 UP","729","#dbac81"
"PANTONE 730 UP","730","#bf874f"
"PANTONE 731 UP","731","#a77338"
"PANTONE 732 UP","732","#9e6d34"
"PANTONE 4685 UP","4685","#f2dbc3"
"PANTONE 4675 UP","4675","#e7c5a5"
"PANTONE 4665 UP","4665","#d6ac8e"
"PANTONE 4655 UP","4655","#c39775"
"PANTONE 4645 UP","4645","#bd8f6e"
"PANTONE 4635 UP","4635","#a8734b"
"PANTONE 4625 UP","4625","#835831"
"PANTONE 7513 UP","7513","#f5d0c3"
"PANTONE 7514 UP","7514","#e5b6a1"
"PANTONE 7515 UP","7515","#cf957a"
"PANTONE 7516 UP","7516","#b6774a"
"PANTONE 7517 UP","7517","#ac6d39"
"PANTONE 7518 UP","7518","#83675e"
"PANTONE 7519 UP","7519","#7f6a5e"
"PANTONE 4755 UP","4755","#f0dccd"
"PANTONE 4745 UP","4745","#e6cec2"
"PANTONE 4735 UP","4735","#d1af9f"
"PANTONE 4725 UP","4725","#bf9b86"
"PANTONE 4715 UP","4715","#ab816b"
"PANTONE 4705 UP","4705","#a47c67"
"PANTONE 4695 UP","4695","#875832"
"PANTONE 482 UP","482","#f2dcce"
"PANTONE 481 UP","481","#e4c7b3"
"PANTONE 480 UP","480","#e2bda8"
"PANTONE 479 UP","479","#c19579"
"PANTONE 478 UP","478","#a8704a"
"PANTONE 477 UP","477","#8f623c"
"PANTONE 476 UP","476","#7c5834"
"PANTONE 7527 UP","7527","#f0ece0"
"PANTONE 7528 UP","7528","#e6e0da"
"PANTONE 7529 UP","7529","#d0c4ba"
"PANTONE 7530 UP","7530","#beb1a6"
"PANTONE 7531 UP","7531","#938678"
"PANTONE 7532 UP","7532","#887c70"
"PANTONE 7533 UP","7533","#7a7065"
"PANTONE 7534 UP","7534","#ebe8dd"
"PANTONE 7535 UP","7535","#dad5c7"
"PANTONE 7536 UP","7536","#c3bfae"
"PANTONE 7537 UP","7537","#c2cbc2"
"PANTONE 7538 UP","7538","#afb9b0"
