"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P 7-9 U","7-9","#fcf4de"
"PANTONE P 7-10 U","7-10","#f9eecc"
"PANTONE P 7-11 U","7-11","#f7e7b6"
"PANTONE P 7-12 U","7-12","#f4dfa0"
"PANTONE P 7-13 U","7-13","#f2d886"
"PANTONE P 7-14 U","7-14","#edce6b"
"PANTONE P 7-15 U","7-15","#e9c444"
"PANTONE P 7-16 U","7-16","#e3b800"
"PANTONE P 8-1 U","8-1","#f5ebd1"
"PANTONE P 8-2 U","8-2","#f2e4bb"
"PANTONE P 8-3 U","8-3","#eddca6"
"PANTONE P 8-4 U","8-4","#e8d28d"
"PANTONE P 8-5 U","8-5","#e2c876"
"PANTONE P 8-6 U","8-6","#dcbe5a"
"PANTONE P 8-7 U","8-7","#d4b239"
"PANTONE P 8-8 U","8-8","#cba609"
"PANTONE P 8-9 U","8-9","#f5eddb"
"PANTONE P 8-10 U","8-10","#efe5c5"
"PANTONE P 8-11 U","8-11","#e8d9ab"
"PANTONE P 8-12 U","8-12","#decb90"
"PANTONE P 8-13 U","8-13","#d6c076"
"PANTONE P 8-14 U","8-14","#ccb157"
"PANTONE P 8-15 U","8-15","#c1a43a"
"PANTONE P 8-16 U","8-16","#b59515"
"PANTONE P 9-1 U","9-1","#ede4ca"
"PANTONE P 9-2 U","9-2","#e1d4ae"
"PANTONE P 9-3 U","9-3","#daca97"
"PANTONE P 9-4 U","9-4","#d0bd7e"
"PANTONE P 9-5 U","9-5","#c5b069"
"PANTONE P 9-6 U","9-6","#baa24f"
"PANTONE P 9-7 U","9-7","#ab9236"
"PANTONE P 9-8 U","9-8","#9d831b"
"PANTONE P 9-9 U","9-9","#e4dabd"
"PANTONE P 9-10 U","9-10","#d8cba1"
"PANTONE P 9-11 U","9-11","#ccbc8a"
"PANTONE P 9-12 U","9-12","#c0ad71"
"PANTONE P 9-13 U","9-13","#b49f59"
"PANTONE P 9-14 U","9-14","#a69042"
"PANTONE P 9-15 U","9-15","#97812e"
"PANTONE P 9-16 U","9-16","#89741f"
"PANTONE P 10-1 U","10-1","#ffefcf"
"PANTONE P 10-2 U","10-2","#ffeabc"
"PANTONE P 10-3 U","10-3","#ffe5a9"
"PANTONE P 10-4 U","10-4","#ffde8f"
"PANTONE P 10-5 U","10-5","#ffd97b"
"PANTONE P 10-6 U","10-6","#ffd25f"
"PANTONE P 10-7 U","10-7","#ffc839"
"PANTONE P 10-8 U","10-8","#fdbf00"
"PANTONE P 10-9 U","10-9","#f8e9ca"
"PANTONE P 10-10 U","10-10","#f6e2b7"
"PANTONE P 10-11 U","10-11","#f5dca4"
"PANTONE P 10-12 U","10-12","#f0d28c"
