"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 3-13 C","3-13","#c0b66f"
"PANTONE P 3-14 C","3-14","#b0a651"
"PANTONE P 3-15 C","3-15","#9e9333"
"PANTONE P 3-16 C","3-16","#8b811c"
"PANTONE P 4-1 C","4-1","#fff8d6"
"PANTONE P 4-2 C","4-2","#fff4c4"
"PANTONE P 4-3 C","4-3","#fff3b4"
"PANTONE P 4-4 C","4-4","#fff09b"
"PANTONE P 4-5 C","4-5","#ffec84"
"PANTONE P 4-6 C","4-6","#ffe866"
"PANTONE P 4-7 C","4-7","#ffe43c"
"PANTONE P 4-8 C","4-8","#ffe000"
"PANTONE P 4-9 C","4-9","#f8ecbc"
"PANTONE P 4-10 C","4-10","#f7e9af"
"PANTONE P 4-11 C","4-11","#f5e49b"
"PANTONE P 4-12 C","4-12","#f4e189"
"PANTONE P 4-13 C","4-13","#f2dc76"
"PANTONE P 4-14 C","4-14","#eed65c"
"PANTONE P 4-15 C","4-15","#ebce38"
"PANTONE P 4-16 C","4-16","#e6c700"
"PANTONE P 5-1 C","5-1","#f0e4b4"
"PANTONE P 5-2 C","5-2","#eddfa3"
"PANTONE P 5-3 C","5-3","#e9d98f"
"PANTONE P 5-4 C","5-4","#e6d27d"
"PANTONE P 5-5 C","5-5","#e0cc68"
"PANTONE P 5-6 C","5-6","#dcc64f"
"PANTONE P 5-7 C","5-7","#d4bb32"
"PANTONE P 5-8 C","5-8","#cdb300"
"PANTONE P 5-9 C","5-9","#dfd08c"
"PANTONE P 5-10 C","5-10","#d9ca7f"
"PANTONE P 5-11 C","5-11","#d5c470"
"PANTONE P 5-12 C","5-12","#d0be60"
"PANTONE P 5-13 C","5-13","#ccb850"
"PANTONE P 5-14 C","5-14","#c6b03f"
"PANTONE P 5-15 C","5-15","#bea82a"
"PANTONE P 5-16 C","5-16","#b7a10d"
"PANTONE P 6-1 C","6-1","#e1d6a9"
"PANTONE P 6-2 C","6-2","#d9cd96"
"PANTONE P 6-3 C","6-3","#d1c483"
"PANTONE P 6-4 C","6-4","#c9ba72"
"PANTONE P 6-5 C","6-5","#c1b25e"
"PANTONE P 6-6 C","6-6","#b7a64a"
"PANTONE P 6-7 C","6-7","#ab9932"
"PANTONE P 6-8 C","6-8","#9f8d18"
"PANTONE P 6-9 C","6-9","#d7cd9e"
"PANTONE P 6-10 C","6-10","#cdc18a"
"PANTONE P 6-11 C","6-11","#c3b677"
"PANTONE P 6-12 C","6-12","#b9ab63"
"PANTONE P 6-13 C","6-13","#ad9e4e"
"PANTONE P 6-14 C","6-14","#a1913a"
